Timestamp,CH1,behavior
69457.944,0.471,walking
69524.603,0.508,walking
69591.257,0.167,walking
69657.916,-0.087,walking
69724.569,-0.383,walking
69791.228,-0.548,walking
69857.884,-0.732,walking
69924.541,-0.822,walking
69991.197,-0.822,walking
70057.856,-0.97,walking
70124.514,-0.94,walking
70191.171,-0.971,walking
70257.824,-0.711,walking
70324.481,-0.635,walking
70391.134,-0.728,walking
70457.796,-0.715,walking
70524.452,-0.711,walking
70591.106,-0.6,walking
70657.761,-0.513,walking
70724.421,-0.542,walking
70791.076,-0.404,walking
70857.733,-0.378,walking
70924.393,-0.106,walking
70991.049,-0.001,walking
71057.706,0.14,walking
71124.357,0.412,walking
71191.015,0.54,walking
71257.669,0.418,walking
71324.329,0.356,walking
71390.982,0.533,walking
71457.642,0.441,walking
71524.298,0.476,walking
71590.955,0.494,walking
71657.612,0.577,walking
71724.267,0.757,walking
71790.925,0.715,walking
71857.579,0.525,walking
71924.239,0.145,walking
71990.896,0.222,walking
72057.553,0.21,walking
72124.213,-0.126,walking
