time,dF/F,behavior
34796.344,0.227,idle
34863,0.264,idle
34929.657,0.35,idle
34996.316,0.425,idle
35062.973,0.521,idle
35129.628,0.502,idle
35196.284,0.669,idle
35262.94,0.503,idle
35329.597,0.358,idle
35396.254,0.477,idle
35462.914,0.398,idle
35529.576,0.327,idle
35596.229,0.228,idle
35662.887,0.283,idle
35729.547,0.319,idle
35796.198,0.207,idle
35862.855,0.147,idle
35929.514,0.105,idle
35996.176,0.088,idle
36062.832,0.136,idle
36129.485,0.096,idle
36196.144,0.131,idle
36262.8,0.157,idle
36329.461,0.374,idle
36396.114,0.42,idle
36462.773,0.508,idle
36529.435,0.532,idle
36596.086,0.728,idle
36662.743,0.592,idle
36729.4,0.449,idle
36796.058,0.514,idle
36862.715,0.46,idle
36929.375,0.545,idle
36996.029,0.428,idle
37062.69,0.329,idle
37129.346,0.287,idle
37196.007,0.244,idle
37262.661,0.069,idle
37329.317,-0.074,idle
37395.977,-0.125,idle
37462.63,-0.141,idle
37529.288,-0.233,idle
37595.945,-0.383,idle
37662.605,-0.347,idle
37729.263,-0.391,idle
37795.914,-0.323,idle
37862.572,-0.39,idle
37929.231,-0.611,idle
37995.886,-0.648,idle
38062.547,-0.763,idle
38129.199,-0.798,idle
38195.859,-0.895,idle
38262.516,-0.629,idle
38329.176,-0.434,idle
38395.831,-0.513,idle
38462.489,-0.49,idle
38529.145,-0.549,idle
38595.806,-0.601,idle
38662.456,-0.538,idle
38729.113,-0.568,idle
38795.769,-0.601,idle
38862.427,-0.459,idle
38929.084,-0.26,idle
38995.74,-0.124,idle
39062.401,0.003,idle
39129.056,0.124,idle
39195.711,-0.04,idle
39262.372,-0.09,idle
39329.025,-0.332,idle
39395.681,-0.198,idle
39462.342,-0.189,idle
39529.001,-0.06,idle
39595.655,0.069,idle
39662.312,0.003,idle
39728.971,-0.022,idle
39795.626,-0.046,idle
39862.278,-0.197,idle
39928.941,-0.338,idle
39995.594,-0.417,idle
40062.253,-0.516,idle
40128.913,-0.435,idle
40195.569,-0.26,walking
40262.227,-0.388,walking
40328.887,-0.259,walking
40395.542,-0.405,walking
40462.196,-0.521,walking
40528.855,-0.644,walking
40595.512,-0.753,walking
40662.169,-0.722,walking
40728.829,-0.611,walking
40795.488,-0.722,walking
40862.144,-0.747,walking
40928.801,-0.803,walking
40995.459,-0.675,walking
41062.119,-0.504,walking
41128.775,-0.621,grooming
41195.434,-0.586,grooming
41262.09,-0.485,grooming
41328.747,-0.576,grooming
41395.407,-0.562,grooming
41462.063,-0.427,walking
41528.722,-0.272,walking
41595.378,-0.297,walking
41662.036,-0.249,walking
41728.692,-0.235,walking
41795.347,-0.129,walking
41862.007,-0.1,walking
41928.666,-0.076,walking
41995.324,-0.119,walking
42061.981,-0.443,walking
42128.634,-0.345,walking
42195.292,-0.447,walking
42261.949,-0.578,walking
42328.605,-0.547,walking
42395.266,-0.658,walking
42461.92,-0.752,walking
42528.579,-0.865,grooming
42595.236,-0.791,grooming
42661.897,-0.859,grooming
42728.556,-1.066,grooming
42795.207,-1.13,grooming
42861.868,-1.011,grooming
42928.525,-0.947,grooming
42995.186,-1.032,grooming
43061.839,-0.891,grooming
43128.494,-0.98,grooming
43195.154,-1.069,grooming
43261.815,-0.983,grooming
43328.469,-0.953,grooming
43395.129,-0.964,grooming
43461.786,-1.051,grooming
43528.439,-1.215,grooming
43595.096,-1.259,grooming
43661.754,-1.299,grooming
43728.415,-1.219,grooming
43795.067,-1.125,grooming
43861.726,-1.288,grooming
43928.385,-1.398,grooming
43995.045,-1.306,grooming
44061.7,-1.114,grooming
44128.355,-1.052,grooming
44195.014,-0.905,grooming
44261.671,-0.798,grooming
44328.331,-0.763,grooming
44394.988,-0.622,grooming
44461.641,-0.324,grooming
44528.298,-0.21,grooming
44594.954,-0.022,grooming
44661.615,-0.01,grooming
44728.268,0.133,grooming
44794.93,-0.088,grooming
44861.583,0.103,grooming
44928.241,0.217,grooming
44994.901,0.173,grooming
45061.561,0.111,grooming
45128.218,0.14,grooming
45194.872,0.182,grooming
45261.532,0.03,grooming
45328.186,-0.24,grooming
45394.844,-0.212,grooming
45461.499,-0.363,grooming
45528.16,-0.133,grooming
45594.812,-0.354,grooming
45661.474,-0.307,grooming
45728.126,-0.351,grooming
45794.787,-0.256,grooming
45861.445,-0.349,grooming
45928.099,-0.375,grooming
45994.758,-0.445,grooming
46061.414,-0.535,grooming
46128.074,-0.617,grooming
46194.729,-0.587,grooming
46261.388,-0.655,grooming
46328.041,-0.432,grooming
46394.703,-0.469,grooming
46461.359,-0.411,grooming
46528.012,-0.574,grooming
46594.674,-0.516,grooming
46661.326,-0.44,grooming
46727.985,-0.498,abdomen lick
46794.641,-0.385,abdomen lick
